0 1 0 0
1 0 0 0
2 1 0 0
3 4 0 0
4 9 0 0
5 5 0 0
6 25 0 0
7 57 0 0
8 101 0 0
9 201 0 0
10 563 0 0
11 2589 0 3
12 17396 7 9
13 12193 131 55
14 17769 1000 281
15 16216 2315 2169
16 13314 14006 1330
17 10934 4383 2474
18 7869 6620 2760
19 4385 5861 13720
20 2099 4316 4549
21 925 4230 6232
22 431 3909 6282
23 286 3929 5503
24 260 3730 4963
25 240 3474 5017
26 310 3633 5087
27 250 3619 4865
28 304 4068 5083
29 322 4524 5460
30 292 4503 5608
31 306 4373 5544
32 312 3926 4885
33 310 3694 4516
34 374 3074 3685
35 371 2714 3113
36 398 2380 2648
37 392 1906 2440
38 350 1696 2215
39 396 1550 1897
40 397 1377 1652
41 389 1219 1563
42 384 986 1370
43 377 856 1184
44 344 869 1289
45 411 783 1194
46 363 733 1131
47 400 754 1021
48 419 687 935
49 390 713 894
50 410 733 836
51 381 683 864
52 413 727 789
53 422 671 887
54 408 631 809
55 415 687 795
56 384 702 812
57 394 662 798
58 405 636 832
59 367 740 758
60 385 699 832
61 394 673 756
62 388 622 725
63 386 640 692
64 383 631 665
65 386 665 632
66 378 616 650
67 330 627 612
68 360 614 601
69 377 665 610
70 378 652 603
71 382 645 596
72 401 685 643
73 362 699 616
74 379 727 635
75 414 678 584
76 409 722 571
77 362 694 672
78 408 693 623
79 423 680 581
80 381 654 626
81 427 638 618
82 424 629 604
83 420 632 560
84 438 608 553
85 411 584 550
86 451 663 589
87 416 593 563
88 453 642 593
89 509 617 655
90 478 627 578
91 501 597 568
92 525 606 606
93 512 576 502
94 426 589 535
95 549 591 540
96 504 609 540
97 592 563 522
98 622 507 535
99 620 524 502
100 644 438 469
101 693 510 455
102 816 506 458
103 949 503 440
104 1095 456 436
105 1231 434 418
106 1143 465 478
107 1117 481 466
108 1141 482 532
109 1111 468 510
110 878 450 460
111 987 495 483
112 1132 487 469
113 1319 481 478
114 1510 505 452
115 1729 550 436
116 1831 522 417
117 1479 517 449
118 1532 575 380
119 1290 562 366
120 1395 538 381
121 1528 522 393
122 1737 494 383
123 2074 479 383
124 2329 494 393
125 2452 460 403
126 2911 472 387
127 2611 454 328
128 2244 481 267
129 2191 450 308
130 2509 408 295
131 2438 372 298
132 3070 360 270
133 3061 363 268
134 2196 405 288
135 2207 372 285
136 2033 361 300
137 2006 370 320
138 2223 328 345
139 2130 312 331
140 1863 317 327
141 1855 349 325
142 1533 316 334
143 1176 323 356
144 983 333 342
145 1165 325 312
146 1295 322 343
147 1541 353 330
148 1361 362 290
149 1171 331 307
150 716 407 300
151 577 439 295
152 458 382 323
153 398 371 319
154 313 362 298
155 354 353 336
156 366 350 334
157 336 386 314
158 359 403 341
159 392 421 348
160 372 496 371
161 367 556 326
162 369 633 368
163 409 707 401
164 427 854 399
165 408 973 428
166 416 1024 490
167 381 1159 510
168 337 1400 492
169 351 1678 561
170 321 1843 626
171 344 2161 633
172 326 2695 644
173 330 2918 664
174 302 3257 792
175 336 3422 776
176 315 3739 944
177 292 3610 1173
178 291 4279 1255
179 322 4301 1367
180 312 4097 1459
181 261 3949 1610
182 290 4661 1520
183 227 3866 1828
184 256 3715 2286
185 237 3281 2363
186 246 2888 2498
187 241 2829 2645
188 261 2775 2738
189 259 2500 2887
190 234 2345 3091
191 208 1797 3982
192 266 1131 4096
193 221 734 4149
194 228 560 3717
195 227 538 3470
196 216 472 3942
197 208 457 3735
198 258 442 3367
199 247 394 2978
200 217 354 2365
201 224 337 1939
202 224 342 1634
203 269 308 1291
204 254 299 1070
205 279 294 774
206 298 324 461
207 311 321 276
208 332 346 171
209 317 296 123
210 328 317 150
211 303 268 89
212 332 329 48
213 348 311 16
214 348 245 16
215 401 271 15
216 451 238 16
217 466 180 18
218 495 135 8
219 477 158 16
220 457 107 12
221 516 41 10
222 577 21 12
223 668 23 15
224 666 16 13
225 737 15 13
226 769 10 17
227 744 17 16
228 793 14 12
229 754 19 17
230 753 28 19
231 728 29 18
232 698 12 18
233 667 22 18
234 660 17 17
235 767 26 21
236 769 16 25
237 878 15 28
238 930 22 16
239 876 12 22
240 842 19 20
241 887 24 25
242 768 32 24
243 638 46 27
244 426 45 30
245 268 79 37
246 194 94 47
247 111 64 56
248 35 30 70
249 6 22 84
250 7 8 49
251 1 3 31
252 0 3 20
253 0 1 7
254 0 0 4
255 0 0 1
